1.5509700371e+00	1.6996868869e+00	1.6046010864e+00	1.4070044240e+00	1.4081302035e+00	1.5044483394e+00	1.2588829499e+00	
1.4351291882e+00	1.1023810456e+00	9.8858052681e-01	9.8986673015e-01	1.0896314562e+00	1.0289507823e+00	
1.6849968329e+00	1.6984796447e+00	1.6384151586e+00	1.7374305665e+00	1.5060642353e+00	1.4706297693e+00	1.2559057666e+00	
1.5206735890e+00	1.6826654464e+00	1.5522322433e+00	1.6614465512e+00	1.4795800790e+00	1.4377383277e+00	1.2636356901e+00	
1.4112077384e+00	8.3735577121e-01	1.2332831225e+00	1.1014976978e+00	1.0870259117e+00	
1.7026912870e+00	1.4410483719e+00	1.1713787705e+00	1.1165511641e+00	1.5315287389e+00	1.3056006617e+00	
1.3163940704e+00	9.9777996272e-01	1.1559955350e+00	9.9877952192e-01	1.0411818444e+00	
1.6054717507e+00	1.4406776011e+00	1.4517624302e+00	1.3787813862e+00	1.4714269521e+00	1.4026939334e+00	1.2892385415e+00	
1.1985179470e+00	1.0776009327e+00	1.0002564689e+00	1.1860978505e+00	1.0862228247e+00	
1.2029513607e+00	1.1330562978e+00	1.3261432455e+00	9.6009704326e-01	1.2092322205e+00	1.3835307757e+00	
